Source.Name,Column1,Column2,Column3,Column4,INTERNATIONAL,Column6,Column7,Column8,Column9
20220101095002pdf_1-14 Januari 2022.pdf,NO,LOCATION,CITY,IATA CODE,FLIGHT PRICE,"DOMESTIC FLIGHT
PRICE INTO
PLANE/NOT INTO
PLANE","DOMESTIC FLIGHT
PRICE INTO
PLANE/NOT INTO
PLANE
ONE TIME CUSTOMER","DOMESTIC FLIGHT
PRICE INTO
PLANE/NOT INTO
PLANE",
20220101095002pdf_1-14 Januari 2022.pdf,,,,,,(incl. VAT+Gov Tax),(incl. VAT+Gov Tax),(incl. VAT+Gov Tax),
20220101095002pdf_1-14 Januari 2022.pdf,,,,,(USCents / Liter),(Rp / Liter),(Rp / Liter),(USCents / Liter),
20220201022838pdf_1-14 Februari 2022.pdf,21,WOLTER MONGINSIDI,KENDARI,KDI,81.50,"12,684.50","12,719.00",88.57,
20220201022838pdf_1-14 Februari 2022.pdf,22,UTAROM,KAIMANA,KNG,81.60,"12,717.59","12,752.18",88.79,
20220201022838pdf_1-14 Februari 2022.pdf,23,ELTARI,KUPANG,KOE,81.20,"12,596.26","12,630.52",87.91,
20220201022838pdf_1-14 Februari 2022.pdf,24,LOMBOK INTERNATIONAL,MATARAM,LOP,81.30,"12,662.44","12,696.88",88.35,
20220201022838pdf_1-14 Februari 2022.pdf,25,BUBUNG,LUWUK,LUW,81.50,"12,684.50","12,719.00",88.57,
20220201022838pdf_1-14 Februari 2022.pdf,26,SAM RATULANGI,MANADO,MDC,81.50,"12,684.50","12,719.00",88.57,
20220201022838pdf_1-14 Februari 2022.pdf,27,POLONIA,MEDAN,MES,80.90,"12,596.26","12,630.52",87.91,
20220201022838pdf_1-14 Februari 2022.pdf,28,MOPAH,MERAUKE,MKQ,81.60,"12,717.59","12,752.18",88.79,
20220201022838pdf_1-14 Februari 2022.pdf,29,RENDANI,MANOKWARI,MKW,81.60,"12,717.59","12,752.18",88.79,
20220201022838pdf_1-14 Februari 2022.pdf,30,KERTAJATI,MAJALENGKA,KJT,78.80,"12,287.42","12,320.84",85.70,
