NO,RUTE ( PP),JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG (Kg),JUMLAH POS,L/F
99,Jakarta-HLP (HLP) - Balikpapan (BPN),780.0,64916.0,86970.0,3831854.0,5134.0,"74,6%"
100,Balikpapan (BPN) - Banjarmasin (BDJ),1227.0,64828.0,106225.0,211930.0,23324.0,"61,0%"
101,Jakarta (CGK) - Malang (MLG),697.0,64495.0,109786.0,124994.0,,"58,7%"
102,Surabaya (SUB) - Pangkalan Bun (PKN),1205.0,63259.0,93440.0,182609.0,13630.0,"67,7%"
103,Palu (PLW) - Balikpapan (BPN),550.0,63176.0,93738.0,138144.0,176.0,"67,4%"
104,Pekanbaru (PKU) - Medan (KNO),655.0,62241.0,98054.0,73119.0,453.0,"63,5%"
105,Makassar (UPG) - Merauke (MKQ),522.0,62139.0,86112.0,353651.0,32293.0,"72,2%"
106,Yogyakarta (YIA) - Pekanbaru (PKU),648.0,61998.0,108312.0,559976.0,247.0,"57,2%"
107,Jakarta (CGK) - Sorong (SOQ),737.0,59873.0,120210.0,1481911.0,13795.0,"49,8%"
108,Pekanbaru (PKU) - Jakarta-HLP (HLP),523.0,58642.0,82566.0,111292.0,2738.0,"71,0%"
109,Ternate (TTE) - Manado (MDC),1099.0,57576.0,81702.0,74197.0,12064.0,"70,5%"
