Source.Name,Column1,Column2,Column3,Column4,Column5,Column6,Column7
20240229235958pdf_1-31 Maret 2024.pdf,9,HANG NADIM,BATAM,BTH,91.00,"14,142.30","14,184.60"
20240229235958pdf_1-31 Maret 2024.pdf,10,SULTAN ISKANDAR MUDA,BANDA ACEH,BTJ,91.10,"15,693.30","15,735.60"
20240229235958pdf_1-31 Maret 2024.pdf,11,SOEKARNO HATTA,CENGKARENG,CGK,80.20,"13,801.20","13,838.40"
20240229235958pdf_1-31 Maret 2024.pdf,12,TUNGGUL WULUNG,CILACAP,CXP,92.00,"15,860.25","15,903.00"
20240229235958pdf_1-31 Maret 2024.pdf,13,SULTAN THAHA,JAMBI,DJB,91.10,"15,737.82","15,780.24"
20240229235958pdf_1-31 Maret 2024.pdf,14,SENTANI,JAYAPURA,DJJ,93.70,"16,116.24","16,159.68"
20240229235958pdf_1-31 Maret 2024.pdf,15,NGURAH RAI,DENPASAR,DPS,90.20,"15,515.22","15,557.04"
20240229235958pdf_1-31 Maret 2024.pdf,16,PINANG KAMPAI,DUMAI,DUM,91.10,"15,693.30","15,735.60"
20240229235958pdf_1-31 Maret 2024.pdf,17,H. AROEBOESMAN,ENDE,ENE,91.20,"15,726.69","15,769.08"
20240229235958pdf_1-31 Maret 2024.pdf,18,JALALUDDIN,GORONTALO,GTO,93.10,"16,060.59","16,103.88"
20240229235958pdf_1-31 Maret 2024.pdf,19,HALIM PERDANAKUSUMA,JAKARTA,HLP,87.20,"15,025.50","15,066.00"
20240229235958pdf_1-31 Maret 2024.pdf,20,ADISUCIPTO,YOGYAKARTA,JOG,92.00,"15,860.25","15,903.00"
20240229235958pdf_1-31 Maret 2024.pdf,21,WOLTER MONGINSIDI,KENDARI,KDI,93.10,"16,060.59","16,103.88"
20240229235958pdf_1-31 Maret 2024.pdf,22,UTAROM,KAIMANA,KNG,93.40,"16,116.24","16,159.68"
20240229235958pdf_1-31 Maret 2024.pdf,23,ELTARI,KUPANG,KOE,89.00,"15,292.62","15,333.84"
20240229235958pdf_1-31 Maret 2024.pdf,24,LOMBOK INTERNATIONAL,MATARAM,LOP,80.20,"13,801.20","13,838.40"
20240229235958pdf_1-31 Maret 2024.pdf,25,BUBUNG,LUWUK,LUW,93.10,"16,060.59","16,103.88"
