rute_id,kode_rute,bandara_1_id,bandara_2_id,kategori
319,DPS-WUH,55,231,INTERNASIONAL
320,DPS-XMN,55,233,INTERNASIONAL
321,DPS-YIA,55,234,DOMESTIK
322,DTB-KNO,57,98,DOMESTIK
323,DTB-KUL,57,103,INTERNASIONAL
324,DUM-KNO,58,98,DOMESTIK
325,DUM-PKU,58,163,DOMESTIK
326,ENE-KOE,62,99,DOMESTIK
327,ENE-LBJ,62,108,DOMESTIK
328,ENE-TMC,62,214,DOMESTIK
329,EWE-MKQ,63,131,DOMESTIK
330,EWE-TIM,63,209,DOMESTIK
331,FLZ-KNO,65,98,DOMESTIK
332,FOC-MDC,66,125,INTERNASIONAL
333,GNS-KNO,69,98,DOMESTIK
334,GNS-PDG,69,156,DOMESTIK
335,GTO-MDC,70,125,DOMESTIK
336,GTO-PLW,70,166,DOMESTIK
337,GTO-UPG,70,226,DOMESTIK
338,HKG-SUB,74,197,INTERNASIONAL
339,HLP-HLP,76,76,DOMESTIK
340,HLP-JOG,76,86,DOMESTIK
341,HLP-KNO,76,98,DOMESTIK
342,HLP-KOE,76,99,DOMESTIK
343,HLP-LOP,76,117,DOMESTIK
344,HLP-MLG,76,134,DOMESTIK
345,HLP-PDG,76,156,DOMESTIK
346,HLP-PKU,76,163,DOMESTIK
347,HLP-PLM,76,165,DOMESTIK
348,HLP-PWL,76,175,DOMESTIK
349,HLP-SIN,76,186,INTERNASIONAL
350,HLP-SOC,76,190,DOMESTIK
351,HLP-SRG,76,195,DOMESTIK
352,HLP-SUB,76,197,DOMESTIK
353,HLP-TJQ,76,210,DOMESTIK
354,HLP-TKG,76,212,DOMESTIK
355,HLP-TTE,76,221,DOMESTIK
356,HLP-UPG,76,226,DOMESTIK
357,HLP-YIA,76,234,DOMESTIK
358,JBB-SUB,82,197,DOMESTIK
359,JED-KNO,83,98,INTERNASIONAL
360,JED-SUB,83,197,INTERNASIONAL
361,JED-UPG,83,226,INTERNASIONAL
362,JHB-SUB,84,197,INTERNASIONAL
363,JOG-SUB,86,197,DOMESTIK
364,KBU-UPG,88,226,DOMESTIK
365,KCH-PNK,89,168,INTERNASIONAL
366,KDI-SUB,90,197,DOMESTIK
367,KDI-UPG,90,226,DOMESTIK
368,KDI-WNI,90,229,DOMESTIK
369,KEI-MKQ,91,131,DOMESTIK
370,KJT-KNO,95,98,DOMESTIK
371,KJT-KUL,95,103,INTERNASIONAL
372,KJT-LOP,95,117,DOMESTIK
373,KJT-PLM,95,165,DOMESTIK
374,KJT-SIN,95,186,INTERNASIONAL
375,KJT-UPG,95,226,DOMESTIK
376,KNG-MKW,97,132,DOMESTIK
377,KNG-SOQ,97,192,DOMESTIK
378,KNO-KUL,98,103,INTERNASIONAL
379,KNO-LGK,98,109,INTERNASIONAL
380,KNO-LKI,98,112,DOMESTIK
381,KNO-LSW,98,118,DOMESTIK
382,KNO-MAA,98,123,INTERNASIONAL
383,KNO-MED,98,126,INTERNASIONAL
384,KNO-MEQ,98,128,DOMESTIK
385,KNO-PDG,98,156,DOMESTIK
386,KNO-PEN,98,158,INTERNASIONAL
387,KNO-PKU,98,163,DOMESTIK
388,KNO-PLM,98,165,DOMESTIK
389,KNO-SIN,98,186,INTERNASIONAL
390,KNO-SNB,98,189,DOMESTIK
391,KNO-SRG,98,195,DOMESTIK
392,KNO-SUB,98,197,DOMESTIK
393,KNO-TKG,98,212,DOMESTIK
394,KNO-TXE,98,224,DOMESTIK
395,KNO-YIA,98,234,DOMESTIK
396,KOE-LBJ,99,108,DOMESTIK
397,KOE-LKA,99,111,DOMESTIK
398,KOE-LWE,99,122,DOMESTIK
399,KOE-MOF,99,137,DOMESTIK
400,KOE-RTG,99,180,DOMESTIK
401,KOE-RTI,99,181,DOMESTIK
402,KOE-SAU,99,184,DOMESTIK
403,KOE-SUB,99,197,DOMESTIK
404,KOE-TMC,99,214,DOMESTIK
405,KOE-UPG,99,226,DOMESTIK
406,KOE-WGP,99,227,DOMESTIK
407,KSR-UPG,101,226,DOMESTIK
408,KTG-PCB,102,155,DOMESTIK
409,KTG-PNK,102,168,DOMESTIK
410,KTG-SRG,102,195,DOMESTIK
411,KUL-LBJ,103,108,INTERNASIONAL
412,KUL-LOP,103,117,INTERNASIONAL
413,KUL-PDG,103,156,INTERNASIONAL
414,KUL-PKU,103,163,INTERNASIONAL
415,KUL-PLM,103,165,INTERNASIONAL
416,KUL-PNK,103,168,INTERNASIONAL
417,KUL-SOC,103,190,INTERNASIONAL
418,KUL-SRG,103,195,INTERNASIONAL
419,KUL-SUB,103,197,INTERNASIONAL
420,KUL-TKG,103,212,INTERNASIONAL
421,KUL-UPG,103,226,INTERNASIONAL
422,KUL-YIA,103,234,INTERNASIONAL
423,KXB-UPG,106,226,DOMESTIK
424,LAH-TTE,107,221,DOMESTIK
425,LBJ-LOP,108,117,DOMESTIK
426,LBJ-MOF,108,137,DOMESTIK
427,LBJ-RTI,108,181,DOMESTIK
428,LBJ-SUB,108,197,DOMESTIK
429,LBJ-TMC,108,214,DOMESTIK
430,LBJ-UPG,108,226,DOMESTIK
431,LLJ-PCB,113,155,DOMESTIK
432,LLJ-PLM,113,165,DOMESTIK
433,LMU-NTX,115,150,DOMESTIK
434,LNU-TRK,116,218,DOMESTIK
435,LOP-SIN,117,186,INTERNASIONAL
436,LOP-SRG,117,195,DOMESTIK
437,LOP-SUB,117,197,DOMESTIK
438,LOP-SWQ,117,200,DOMESTIK
439,LOP-UPG,117,226,DOMESTIK
440,LOP-YIA,117,234,DOMESTIK
441,LUV-TIM,119,209,DOMESTIK
442,LUW-MDC,120,125,DOMESTIK
443,LUW-PLW,120,166,DOMESTIK
444,LUW-UPG,120,226,DOMESTIK
445,MDC-MNA,125,135,DOMESTIK
446,MDC-NAH,125,140,DOMESTIK
447,MDC-NRT,125,148,INTERNASIONAL
448,MDC-PVG,125,174,INTERNASIONAL
449,MDC-SIN,125,186,INTERNASIONAL
450,MDC-SOQ,125,192,DOMESTIK
451,MDC-SUB,125,197,DOMESTIK
452,MDC-TIM,125,209,DOMESTIK
453,MDC-TTE,125,221,DOMESTIK
454,MDC-UPG,125,226,DOMESTIK
455,MED-SUB,126,197,INTERNASIONAL
456,MED-UPG,126,226,INTERNASIONAL
457,MJU-UPG,130,226,DOMESTIK
458,MKQ-TMH,131,215,DOMESTIK
459,MKQ-UPG,131,226,DOMESTIK
460,MKW-NBX,132,142,DOMESTIK
461,MKW-SOQ,132,192,DOMESTIK
462,MKW-UPG,132,226,DOMESTIK
463,MKZ-PKU,133,163,INTERNASIONAL
464,MNA-NAH,135,140,DOMESTIK
465,MOF-UPG,137,226,DOMESTIK
466,MOH-PLW,138,166,DOMESTIK
467,MOH-UPG,138,226,DOMESTIK
468,NBX-SOQ,142,192,DOMESTIK
469,NBX-TIM,142,209,DOMESTIK
470,NNX-TRK,146,218,DOMESTIK
471,NTI-SOQ,149,192,DOMESTIK
472,NTX-PNK,150,168,DOMESTIK
473,OJU-UPG,151,226,DOMESTIK
474,OTI-TTE,154,221,DOMESTIK
475,PCB-PWL,155,175,DOMESTIK
476,PCB-SMQ,155,188,DOMESTIK
477,PCB-TFY,155,208,DOMESTIK
478,PCB-TKG,155,212,DOMESTIK
479,PCB-TSY,155,220,DOMESTIK
480,PDG-PKU,156,163,DOMESTIK
481,PDG-SRG,156,195,DOMESTIK
482,PDG-SUB,156,197,DOMESTIK
483,PDG-YIA,156,234,DOMESTIK
484,PEN-SUB,158,197,INTERNASIONAL
485,PGK-PLM,159,165,DOMESTIK
486,PGK-SUB,159,197,DOMESTIK
487,PGK-TJQ,159,210,DOMESTIK
488,PGK-YIA,159,234,DOMESTIK
489,PGQ-TTE,160,221,DOMESTIK
490,PKU-PLM,163,165,DOMESTIK
491,PKU-SIN,163,186,INTERNASIONAL
492,PKU-SIQ,163,187,DOMESTIK
493,PKU-SRG,163,195,DOMESTIK
494,PKU-SUB,163,197,DOMESTIK
495,PKU-SZB,163,203,INTERNASIONAL
496,PKU-TNJ,163,216,DOMESTIK
497,PKU-YIA,163,234,DOMESTIK
498,PKY-PNK,164,168,DOMESTIK
499,PKY-SMQ,164,188,DOMESTIK
500,PKY-SRG,164,195,DOMESTIK
501,PKY-SUB,164,197,DOMESTIK
502,PKY-YIA,164,234,DOMESTIK
503,PLM-SIN,165,186,INTERNASIONAL
504,PLM-SRG,165,195,DOMESTIK
505,PLM-SUB,165,197,DOMESTIK
506,PLM-TKG,165,212,DOMESTIK
507,PLM-YIA,165,234,DOMESTIK
508,PLW-SUB,166,197,DOMESTIK
509,PLW-TLI,166,213,DOMESTIK
510,PLW-UOL,166,225,DOMESTIK
511,PLW-UPG,166,226,DOMESTIK
512,PNK-PSU,168,171,DOMESTIK
513,PNK-SOC,168,190,DOMESTIK
514,PNK-SQG,168,193,DOMESTIK
515,PNK-SRG,168,195,DOMESTIK
516,PNK-SUB,168,197,DOMESTIK
517,PNK-TBX,168,206,DOMESTIK
518,PNK-UPG,168,226,DOMESTIK
519,PNK-YIA,168,234,DOMESTIK
520,PSJ-UPG,170,226,DOMESTIK
521,PWL-SUB,175,197,DOMESTIK
522,RAQ-UPG,177,226,DOMESTIK
523,SIN-SRG,186,195,INTERNASIONAL
524,SIN-SUB,186,197,INTERNASIONAL
525,SIN-UPG,186,226,INTERNASIONAL
526,SIN-YIA,186,234,INTERNASIONAL
527,SIQ-TNJ,187,216,DOMESTIK
528,SMQ-SRG,188,195,DOMESTIK
529,SMQ-SUB,188,197,DOMESTIK
530,SOQ-SUB,192,197,DOMESTIK
531,SOQ-TIM,192,209,DOMESTIK
532,SOQ-UPG,192,226,DOMESTIK
533,SQN-TTE,194,221,DOMESTIK
534,SRG-SUB,195,197,DOMESTIK
535,SRG-UPG,195,226,DOMESTIK
536,SRI-SUB,196,197,INTERNASIONAL
537,SUB-SUP,197,198,DOMESTIK
538,SUB-TIM,197,209,DOMESTIK
539,SUB-TRK,197,218,DOMESTIK
540,SUB-TTE,197,221,DOMESTIK
541,SUB-UPG,197,226,DOMESTIK
542,TBX-TNJ,206,216,DOMESTIK
543,TIM-UPG,209,226,DOMESTIK
544,TIM-WMX,209,228,DOMESTIK
545,TJS-TRK,211,218,DOMESTIK
546,TKG-YIA,212,234,DOMESTIK
547,TRK-TWU,218,222,INTERNASIONAL
548,TRK-UPG,218,226,DOMESTIK
549,TRK-YIA,218,234,DOMESTIK
550,TRT-UPG,219,226,DOMESTIK
551,TTE-UPG,221,226,DOMESTIK
552,UPG-WNI,226,229,DOMESTIK
553,UPG-YIA,226,234,DOMESTIK
