NO,RUTE ( PP),Jan-21,Feb-21,Mar-21,Apr-21,Mei-21,Jun-21,Jul-21,Agu-21,Sep-21,Okt-21,Nov-21,Des-21,TOTAL 2021,TOTAL 2020,TOTAL 2019
112,Kupang (KOE) - Bajawa (BJW),3673.0,2541.0,3401.0,4748.0,4132.0,6569.0,2652.0,4519.0,5664.0,6685.0,4783.0,5491.0,54858.0,58372.0,77951.0
113,Surabaya (SUB) - Labuhan Bajo (LBJ),3957.0,734.0,4580.0,3335.0,4888.0,8288.0,1130.0,,3133.0,8335.0,9156.0,6273.0,53809.0,52332.0,65568.0
114,Nabire (NBX) - Jayapura (DJJ),6078.0,3916.0,4298.0,4509.0,2854.0,5282.0,3903.0,2475.0,4184.0,3956.0,5287.0,6924.0,53666.0,34176.0,88880.0
115,Jakarta (CGK) - Timika (TIM),3572.0,2337.0,3837.0,4192.0,3950.0,6880.0,867.0,,5033.0,9330.0,6486.0,6849.0,53333.0,24748.0,9393.0
116,Tambolaka (TMC) - Kupang (KOE),4147.0,3080.0,3394.0,2251.0,1489.0,4024.0,3429.0,4085.0,5355.0,6083.0,6737.0,8295.0,52369.0,65624.0,89121.0
117,Surabaya (SUB) - Sampit (SMQ),5516.0,5394.0,7053.0,6276.0,3349.0,5804.0,1190.0,1120.0,995.0,3308.0,5510.0,6445.0,51960.0,60626.0,110460.0
118,Yogyakarta (YIA) - Banjarmasin (BDJ),3785.0,1214.0,3523.0,6881.0,7051.0,8977.0,699.0,,,1232.0,8537.0,10044.0,51943.0,59226.0,8962.0
119,Balikpapan (BPN) - Bandung (BDO),4686.0,3720.0,4281.0,4587.0,4297.0,5158.0,1209.0,880.0,1672.0,5367.0,7194.0,8311.0,51362.0,18765.0,59327.0
120,Maumere (MOF) - Kupang (KOE),4147.0,3043.0,3256.0,3526.0,2633.0,4110.0,3324.0,4128.0,4004.0,3751.0,5733.0,8413.0,50068.0,68122.0,109196.0
121,Tambolaka (TMC) - Denpasar (DPS),4190.0,3279.0,4004.0,4432.0,3035.0,5095.0,2098.0,662.0,1399.0,3006.0,6527.0,8777.0,46504.0,62065.0,127650.0
122,Padang Pariaman (PDG) - Medan (KNO),3426.0,3656.0,5377.0,5149.0,6377.0,8007.0,1088.0,,,2465.0,4157.0,5549.0,45251.0,68074.0,223817.0
123,Makassar (UPG) - Kolaka (KXB),4126.0,3336.0,5193.0,5370.0,4290.0,6291.0,1599.0,100.0,56.0,2576.0,4614.0,6042.0,43593.0,12397.0,
124,Kupang (KOE) - Alor (ARD),2691.0,1870.0,3472.0,4021.0,3164.0,5124.0,2033.0,2438.0,3518.0,4831.0,5262.0,5155.0,43579.0,56264.0,84060.0
125,Pontianak (PNK) - Batam (BTH),4255.0,3381.0,4409.0,4508.0,3924.0,5509.0,856.0,,751.0,4395.0,7806.0,2885.0,42679.0,58770.0,230868.0
126,Surabaya (SUB) - Manado (MDC),,,6095.0,7215.0,5957.0,8022.0,470.0,,,,3630.0,10743.0,42132.0,46666.0,156155.0
127,Makassar (UPG) - Mamuju (MJU),5698.0,4189.0,4376.0,4037.0,3100.0,4911.0,428.0,,130.0,3732.0,6115.0,5361.0,42077.0,48267.0,102400.0
128,Makassar (UPG) - Tarakan (TRK),4907.0,416.0,5790.0,4411.0,3877.0,6042.0,1919.0,,,,6038.0,8614.0,42014.0,36869.0,104350.0
129,Solo (SOC) - Jakarta-HLP (HLP),1169.0,712.0,6917.0,11040.0,9724.0,11178.0,734.0,339.0,,,,,41813.0,107840.0,368626.0
130,Jakarta (CGK) - Banyuwangi (BWX),4120.0,1528.0,4546.0,5401.0,4379.0,5694.0,487.0,914.0,1502.0,2774.0,3833.0,5149.0,40327.0,80017.0,179840.0
