waktu_id,bandara_id,kategori,pesawat_dtg,pesawat_brk,pesawat_total,penumpang_dtg,penumpang_brk,penumpang_total,penumpang_tra,bagasi_dtg,bagasi_brk,bagasi_total,barang_dtg,barang_brk,barang_total,pos_dtg,pos_brk,pos_total
2024,211,DOMESTIK,826,832,1658,1403,1397,2.8,793,7234,7142,14376,6652,7102,13754,0,0,0
2020,211,INTERNASIONAL,477,476,953,53.11,51286,104396,0,484979,510314,995293,56175,9664,65839,0,0,0
2021,211,INTERNASIONAL,11,9,20,3,18,21,0,0,0,0,0,0,0,0,0,0
2022,211,INTERNASIONAL,9,17,26,4,50,54,0,0,3,3,0,0,0,0,0,0
2023,211,INTERNASIONAL,20,20,40,52,69,121,0,0,13,13,0,0,0,0,0,0
2024,211,INTERNASIONAL,31,20,51,104,111,215,0,0,57,57,0,0,0,0,0,0
2020,43,DOMESTIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,43,DOMESTIK,529,531,1.06,44,41,85,0,0,0,0,0,0,0,0,0,0
2022,43,DOMESTIK,580,616,1196,27,27,54,0,0,0,0,0,0,0,0,0,0
2023,43,DOMESTIK,523,2902,3425,0,0,0,0,0,0,0,0,0,0,0,6,6
2024,43,DOMESTIK,341,2029,2.37,1,4821,5821,2,0,1,1,0,0,0,0,0,0
2020,286,DOMESTIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,286,DOMESTIK,116,111,227,587,604,1191,0,6286,5979,12265,10618,7101,17719,95,77,172
2022,286,DOMESTIK,200,199,399,1287,1287,2574,8,11944,11424,23368,14849,10695,25544,181,142,323
2023,286,DOMESTIK,1448,1463,2911,2252,2.39,4642,0,19987,18625,38612,18417,15362,33779,239,318,557
2024,286,DOMESTIK,1477,1473,2.95,2935,2819,5754,0,25996,23155,49151,18618,21914,40532,237,287,524
2020,369,DOMESTIK,79,79,158,2507,2806,5313,0,4192,2806,6998,4192,4873,9065,0,0,0
2021,369,DOMESTIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,369,DOMESTIK,14,14,28,38,25,63,0,32,23,55,0,0,0,0,0,0
2023,369,DOMESTIK,13,13,26,186,237,423,0,80,0,80,0,0,0,0,0,0
2024,369,DOMESTIK,13,12,25,94,95,189,0,0,0,0,0,0,0,0,0,0
