bandara_id,kode_iata,nama_bandara,kota,provinsi,negara
202,KBU,GUSTI SYAMSIR ALAM,KOTABARU,KALIMANTAN SELATAN,INDONESIA
203,KSR,H. AROEPALA,SELAYAR,SULAWESI SELATAN,INDONESIA
204,TJQ,H. AS. HANANDJOEDIN,TANJUNG PANDAN,BANGKA BELITUNG,INDONESIA
205,SMQ,H. ASAN,SAMPIT,KALIMANTAN TENGAH,INDONESIA
206,ENE,H. HASAN AROEBOESMAN,ENDE,NUSA TENGGARA TIMUR,INDONESIA
207,HLP,HALIM PERDANAKUSUMAH,JAKARTA,DAERAH KHUSUS IBUKOTA JAKARTA,INDONESIA
208,KDI,HALUOLEO,KENDARI,SULAWESI TENGGARA,INDONESIA
209,BTH,HANG NADIM,BATAM,KEPULAUAN RIAU,INDONESIA
210,,HARUN THOHIR,GRESIK,JAWA TIMUR,INDONESIA
211,BDO,HUSEIN SASTRANEGARA,BANDUNG,JAWA BARAT,INDONESIA
212,,ILAGA,,PAPUA TENGAH,INDONESIA
213,,ILU,,PAPUA TENGAH,INDONESIA
214,,INANWATAN,,PAPUA BARAT DAYA,INDONESIA
215,PKN,ISKANDAR,PANGKALAN BUN,KALIMANTAN TENGAH,INDONESIA
216,,J.B SOEDIRMAN,PURBALINGGA,JAWA TENGAH,INDONESIA
217,,JAPURA,RENGAT,RIAU,INDONESIA
218,,JOHN BECKER,PULAU KISAR,MALUKU,INDONESIA
219,JIO,JOS ORNO IMSULA,MOA,MALUKU,INDONESIA
220,SUB,JUANDA,SURABAYA,JAWA TIMUR,INDONESIA
221,TRK,JUWATA,TARAKAN,KALIMANTAN UTARA,INDONESIA
222,,KABARE,,PAPUA BARAT DAYA,INDONESIA
223,,KABIR,,NUSA TENGGARA TIMUR,INDONESIA
224,,KALIMARAU,TANJUNG REDEP,KALIMANTAN TIMUR,INDONESIA
225,,KAMBUAYA,,PAPUA BARAT,INDONESIA
226,,KAMUR,,PAPUA SELATAN,INDONESIA
