waktu_id,rute_id,jumlah_penerbangan,jumlah_penumpang,kapasitas_seat,jumlah_barang_kg,jumlah_pos_kg,load_factor_pct
2020,408,1616,83415,115188,424354.0,0.0,72.42
2020,409,837,39267,59924,83129.0,0.0,65.53
2020,410,568,20825,40896,24985.0,0.0,50.92
2020,414,52,2184,3744,503.0,0.0,58.33
2020,415,321,16721,23112,40278.0,0.0,72.35
2020,416,760,26406,54484,26916.0,0.0,48.47
2020,419,3089,137156,230074,324846.0,0.0,59.61
2020,420,130,4703,9360,88.0,0.0,50.25
2020,421,615,25894,44280,5309.0,0.0,58.48
2020,422,259,7344,18648,277.0,0.0,39.38
2020,424,1641,169643,290651,2242518.0,33732.0,58.37
2020,427,225,26035,50341,3935256.0,0.0,51.72
2020,428,2677,235838,440740,50727.0,0.0,53.51
2020,429,2169,208025,359670,2844432.0,10599.0,57.84
2020,430,97,8268,15132,11517.0,0.0,54.64
2020,431,175,14600,28548,9793.0,10.0,51.14
2020,432,1595,147444,267420,51093.0,91.0,55.14
2020,433,1379,137069,230556,1561072.0,1095.0,59.45
2020,435,445,46625,69444,380976.0,546.0,67.14
2020,436,1802,182627,300060,438455.0,388.0,60.86
2020,438,209,0,0,2871218.0,0.0,0.0
2020,439,1199,107840,210048,324861.0,730.0,51.34
2020,440,1359,130317,229914,448744.0,412.0,56.68
2020,441,2884,308889,480126,612652.0,2420.0,64.33
2020,442,122,10241,21960,1149.0,0.0,46.63
2020,443,590,33370,59188,2545.0,0.0,56.38
2020,444,158,5883,11376,0.0,0.0,51.71
2020,446,177,16307,27612,173416.0,8156.0,59.06
2020,447,552,36282,93468,34423.0,1.0,38.82
2020,448,31,792,2232,255.0,0.0,35.48
2020,449,176,6063,12672,19485.0,0.0,47.85
2020,450,49,11500,22022,800.0,5140.0,52.22
2020,452,15,5507,6580,0.0,0.0,83.69
2020,453,167,58719,73940,57942.0,38720.0,79.41
2020,454,15,6105,6544,0.0,4200.0,93.29
2020,455,113,12559,20340,98.0,0.0,61.75
2020,456,318,39073,57240,269773.0,0.0,68.26
2020,457,312,42264,56160,96051.0,0.0,75.26
2020,458,246,31666,50370,32487.0,419.0,62.87
2020,459,160,16801,34400,30060.0,280.0,48.84
2020,460,168,11586,20160,19620.0,0.0,57.47
2020,461,28,904,1344,0.0,0.0,67.26
2020,462,366,53934,72530,125313.0,1199.0,74.36
2020,463,368,38924,52786,65331.0,239.0,73.74
2020,464,401,31639,48672,222531.0,0.0,65.0
2020,465,292,28498,49824,160731.0,0.0,57.2
2020,466,1689,57106,120940,75250.0,0.0,47.22
2020,467,204,18473,33646,11008.0,0.0,54.9
2020,468,624,93809,119508,536337.0,1917.0,78.5
2020,469,118,5673,8496,5555.0,0.0,66.77
