waktu_id,bandara_id,kategori,pesawat_dtg,pesawat_brk,pesawat_total,penumpang_dtg,penumpang_brk,penumpang_total,penumpang_tra,bagasi_dtg,bagasi_brk,bagasi_total,barang_dtg,barang_brk,barang_total,pos_dtg,pos_brk,pos_total
2022,182,DOMESTIK,195,195,390,1527,1479,3006,2,10647,11446,22093,10,101,111,0,0,0
2023,182,DOMESTIK,226,223,449,1926,2.22,4146,0,13725,17919,31644,2,0,2,0,1,1
2024,182,DOMESTIK,323,324,647,2874,3103,5977,0,16.46,15846,32306,62,87,149,0,1,1
2020,218,DOMESTIK,2.51,2516,5026,201.92,198.44,400.36,893,572171,483218,1055389,3846786,2244722,6091508,0,0,0
2021,218,DOMESTIK,2152,2156,4308,183517,181878,365395,0,858192,827388,1685580,5323340,3818587,9141927,0,0,0
2022,218,DOMESTIK,2652,2655,5307,225165,224601,449766,0,1755795,1590089,3345884,5906895,3483887,9390782,0,0,0
2023,218,DOMESTIK,3501,3.51,7011,252641,250495,503136,0,2161222,1909173,4070395,4855222,1816966,6672188,0,0,0
2024,218,DOMESTIK,5456,5459,10915,324096,327457,651553,4,2640010,2242273,4882283,6562232,3296630,9858862,0,0,0
2020,218,INTERNASIONAL,34,34,68,1126,993,2119,34,9678,7.92,17598,0,0,0,0,0,0
2021,218,INTERNASIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,218,INTERNASIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,218,INTERNASIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,218,INTERNASIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,211,DOMESTIK,34,34,68,1126,993,2119,34,9678,7.92,17598,0,0,0,0,0,0
2021,211,DOMESTIK,574,574,1148,3559,3591,7.15,3,31212,32118,63.33,5255,8706,13961,0,0,0
2022,211,DOMESTIK,583,583,1166,18095,18218,36313,0,120076,97849,217925,4923,4302,9225,0,0,0
2023,211,DOMESTIK,405,453,858,10285,9543,19828,37,66046,51184,117.23,6885,6185,13.07,0,0,0
2024,211,DOMESTIK,354,362,716,4376,3888,8264,0,28059,38459,66518,8605,20889,29494,0,0,0
2020,146,DOMESTIK,631,631,1262,5.92,5847,11767,0,39897,76809,116706,16502,61641,78143,223,1,224
2021,146,DOMESTIK,814,816,1.63,3687,3667,7354,0,41649,89931,131.58,16584,20382,36966,112,0,112
2022,146,DOMESTIK,513,513,1026,2729,3.41,6139,0,31589,57.56,89149,10512,33575,44087,0,0,0
2023,146,DOMESTIK,715,712,1427,4473,4697,9.17,13,39847,46136,85983,4618,12.92,17538,1,1,2
2024,146,DOMESTIK,614,611,1225,3778,4754,8532,0,30611,53438,84049,5281,26745,32026,9,3,12
2024,116,DOMESTIK,2553,2589,5142,20864,21072,41936,0,172949,226.56,399509,5675,239951,245626,0,1,1
2020,200,DOMESTIK,475,475,950,24694,26469,51163,0,56295,45756,102051,34605,2427,37032,0,0,0
2021,200,DOMESTIK,336,336,672,15206,18962,34168,0,48655,60903,109558,25154,2096,27.25,0,0,0
2022,200,DOMESTIK,1168,1167,2335,28823,31666,60489,0,149255,156347,305602,39313,2829,42142,0,0,0
2023,200,DOMESTIK,578,573,1151,29359,30.32,59679,2,166174,193171,359345,41036,7556,48592,0,0,0
2024,200,DOMESTIK,619,617,1236,30276,31.71,61986,0,161686,192.5,354186,48325,11272,59597,0,30,30
2020,21,DOMESTIK,1607,1607,3214,88.21,83698,171908,0,237.68,165884,403564,39937,35492,75429,0,0,0
2021,21,DOMESTIK,1228,1228,2456,63451,65938,129389,0,241041,202208,443249,39369,34589,73958,0,0,0
2022,21,DOMESTIK,1.22,1222,2442,69182,74797,143979,0,319698,334.46,654158,45421,33951,79372,0,0,0
2023,21,DOMESTIK,1288,1291,2579,70283,71765,142048,0,454314,419393,873707,55977,40259,96236,0,1,1
2024,21,DOMESTIK,1214,1212,2426,61258,61768,123026,2,374412,357466,731878,46894,44727,91621,0,2,2
2020,99,DOMESTIK,8266,8257,16523,521984,450529,972513,56015,2342731,1843708,4186439,6229847,3089169,9319016,159,45,204
